Paragraph Number,Content
89,Agenda:
90,Brief new TAs about course operations and structure
91,Shoutouts:
92,TODOs:
93,Get copy of syllabus from Vincent
94,All TAs must have their exams in the table
95,Meeting Notes:
96,All TAs to come to WANG 2599 by 5:30pm
98,—----------------------------------------- Weekly Meeting Notes —-----------------------------------------
99,"Weekly Meeting - September 20th, 2025:"
100,Agenda:
101,Finalise course syllabus and schedule announcement on Brightspace
102,Shoutouts:
103,TODOs:
104,Get copy of syllabus from Vincent
105,All TAs must have their exams in the table
106,Meeting Notes:
108,—----------------------------------------- Weekly Meeting Notes —-----------------------------------------
110,"Meeting: Sunday: Oct 19, 2025"
111,Homework 2: announcement releases on Monday
112,Grading homework 1
113,Nov 10 and Nov 17 lecture conflicts
114,Announcement: hmwk 1 is due on monday and reminder for lecture on monday
117,—----------------------------------------- Weekly Meeting Notes —-----------------------------------------
119,"Meeting: Sunday: Oct 26, 2025"
129,ALL 2025 COURSE INFO
131,Weekly Meeting - January 18th 2024
132,"By Thursday 1/23, we all have homework proposals written down,"
133,"By Saturday meeting same week, we will have looked at everyone else's homework proposal to see what they are thinking"
134,Shivam
135,Send flyer to with registration link to CS newsletter
137,Flyers:
138,"Vincent prints flyers, 10 flyers per person (by Sunday Night)"
139,Hang them up by Tuesday and Wednesday
140,Shivam  - WALC
141,Mugdha - CL50
142,Aditya - BHEE
143,Come up with ice breakers
144,Brightspace and Syllabus - Adithya (Friday)
145,Announcements by Saturday 1/25
147,Notes:
148,Meetings every Saturday 6pm
149,Homework
150,Homework Due 4:59pm Mondays before class starts
151,Homework released at 6pm Monday After class
152,"One person manages all aspects of one homework each, including grading"
153,Video solution
154,Show them solution code then explain it
155,Lecture
156,Lectures should be split into modules in a folder in education
157,"Whoever makes their lecture, needs to schedule release their slides on the Monday 6pm after they present"
158,Aim for having the lecture done 2 weeks before presenting
159,Announcements
160,"TAs should be assigned to announcements, should be scheduled in advance"
161,Mugdha and Aditya K
162,Quizzes
163,Aditya K
165,"Weekly Meeting - January 25th, 2024"
166,Shivam: This is how I feel about all the different homework. Try giving it a read before the meeting.
168,Notes:
169,All announcements to go out on Sunday 5pm.
170,"By February 28, if we do not have made significant progress on the DEX homework we will drop it."
171,"Vincent will work on DEX until Feb. 17, if can’t finish by then, Mugdha will pick it up until Feb. 27, if not finished, then split assignment 4 and 5 into two different homeworks"
172,"Assignment 2: Past assignments 4 and 5 need to be combined and formatted into a readme document in github, copy old assignment 5 on github and update it"
173,Have this done and converted by next Saturday meeting (02/01/2025)
174,Shivam:
175,Complete Lecture 1
176,Complete Lecture 2
177,Vincent:
178,ICP Lecture
179,"Still on track, will receive details from ICP soon"
180,Lecture 5
181,Lecture 6
182,Assignment 3: DEX
183,Read Adi K’s Readme for the assignment
184,"Adithya G about being there for Lecture 10, homework proposals, and Syllabus"
185,Mugdha:
187,Make the announcements (first one on the 2nd FEb at 5pm)
188,Posting the quizzes (in-classes)
189,Lecture 2
190,Lecture 4
191,Lecture 8
193,Aditya .K:
194,Have combined versions of assignments 4 and 5 along with readme on github by next Saturday’s meeting (02/01/2025)
196,Week5:
197,Assignment 5: Digital Asset Management
198,"Advantages: Students just learnt about ERC20 tokens, and other stuff, this is indeed a great time for them to mint their own NFT."
199,Things to think about:
200,"If we carefully look at the starter code for Week 6 Assignment, it is more like a second part to the Assignment 5 project, I feel that this in itself is not that solid of a homework, we could on the other hand, combine Week 6 and Week 5 projects to have an homework for this one.l"
201,Week 6:
202,"The students just learnt about HardHat, or Smart Contract security. Can we ask them to write their own test cases, for one of the earlier projects ?

Decentralized Exchange:"
203,"Advantages: It is indeed a great project, will teach the students how to make their own DEX, with a custom liquidity pool, it would be really cool.

Things to think about:"
204,"In order for the students to be able to do this project, we might want to give them some additional resources. Furthermore, since we are making this on Ethereum blockchain, Uniswap docx would be great, and will also teach me how to read such documentation."
206,Meeting 3/15/25
207,Lateness policy exceptions:
208,Exams
209,Sickness
210,Conference for a club or university
211,Please talk to a TA if your circumstance doesn’t fall under these
212,"Not being able to do homework doesn’t count, we offer office hours 4 days a week"
213,"Unless we approve it, late submissions will not be accepted and will be counted as a 0."
